Model,accuracy,precision,recall,f1,improvement_vs_baseline
TF-IDF Only,0.6378378378378379,0.6428837722237397,0.6378378378378379,0.6384720281898113,0.0
TF-IDF + Features,0.6414414414414414,0.6460519896625373,0.6414414414414414,0.6423961770504573,0.5649717514124236
TF-IDF + Features + Augmentation,0.857057057057057,0.8572917962647187,0.857057057057057,0.8559197046816388,34.36911487758944
Fine-Tuned Model,0.9531531531531532,0.9531478041091669,0.9531531531531532,0.9530075371704897,49.43502824858757
